"No.","Time","Source","Destination","Protocol","Length","Info"
"59","1.396669397","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"60","1.398122858","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"61","1.410821526","10.43.2.193","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"62","1.411481625","fe80::e881:84b0:4cfe:6c87","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"63","1.413797975","10.43.2.193","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"64","1.414384912","10.43.2.193","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"65","1.414839455","fe80::e881:84b0:4cfe:6c87","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"66","1.415780356","fe80::e881:84b0:4cfe:6c87","ff02::1:3","LLMNR","84","Standard query 0x00c3 A wpad"
"67","1.416103870","10.43.2.193","224.0.0.252","LLMNR","64","Standard query 0x00c3 A wpad"
"68","1.447845634","10.43.1.197","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"69","1.481759075","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"70","1.500751955","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"71","1.505920930","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"72","1.507349730","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"73","1.551669570","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"74","1.613388437","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"75","1.614817202","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"76","1.634704146","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"77","1.661639451","10.43.2.214","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"78","1.663189405","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"79","1.667689735","10.43.1.34","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"80","1.722154351","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"81","1.723714751","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"82","1.769924432","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"83","1.796101369","10.43.1.120","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"84","1.831109615","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"85","1.832973559","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"86","1.851729929","fe80::e881:84b0:4cfe:6c87","ff02::1:3","LLMNR","84","Standard query 0x00c3 A wpad"
"87","1.853630127","10.43.2.193","224.0.0.252","LLMNR","64","Standard query 0x00c3 A wpad"
"88","1.941289685","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"89","1.941319634","AsustekC_58:df:07","Broadcast","ARP","60","Who has 10.43.0.1? Tell 10.43.2.101"
"90","1.944021918","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"91","1.955129743","Dell_3b:7d:9d","Broadcast","ARP","60","Who has 10.43.0.1? Tell 10.43.1.62"
"92","2.000717729","10.43.2.66","239.192.152.143","LSD","178",""
"93","2.000784060","10.43.2.66","239.192.152.143","LSD","178",""
"94","2.000921346","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","57098  >  6771 Len=138"
"95","2.000989303","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","6771  >  6771 Len=138"
"96","2.050531921","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"97","2.051659481","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"98","2.156276965","10.43.1.22","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"99","2.158959207","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"100","2.160401014","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"101","2.167174247","10.43.2.193","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"102","2.268268087","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"103","2.270479977","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"104","2.334806477","10.43.7.88","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"105","2.377732225","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"106","2.379129831","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"107","2.410897007","10.43.2.193","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"108","2.411481246","fe80::e881:84b0:4cfe:6c87","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"109","2.412583808","10.43.2.214","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"110","2.427131575","10.43.2.193","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"111","2.427872280","fe80::e881:84b0:4cfe:6c87","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"112","2.448275218","10.43.1.197","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"113","2.465263643","fe80::3ccd:93ac:e1ce:63e9","ff02::1:2","DHCPv6","145","Solicit XID: 0xed9f97 CID: 0001000124fc7a17141877c7d955 "
"114","2.483861140","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"115","2.484697207","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"116","2.485750294","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"117","2.500171098","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"118","2.550614652","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"119","2.594313793","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"120","2.596394888","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"121","2.631673903","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"122","2.665844716","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"123","2.671163913","Dell_3b:7d:9d","Broadcast","ARP","60","Who has 10.43.0.1? Tell 10.43.1.62"
"124","2.700624520","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"125","2.701900702","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"126","2.772130472","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"127","2.806935934","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"128","2.808224715","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"129","2.843820270","Cisco_80:9a:8f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 0/43/78:da:6e:57:01:40  Cost = 4  Port = 0x800f"
"130","2.913062099","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"131","2.914248317","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"132","2.920548684","10.43.2.193","10.43.7.255","NBNS","92","Name query NB WPAD<00>"
"133","2.951058818","10.43.1.27","52.30.204.21","TCP","66","42758  >  443 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3928958839 TSecr=4190015076"
"134","2.951162898","52.30.204.21","10.43.1.27","TCP","66","[TCP ACKed unseen segment] 443  >  42758 [ACK] Seq=1 Ack=2 Win=981 Len=0 TSval=4190060136 TSecr=3927741689"
"135","3.000451259","10.43.2.66","239.192.152.143","LSD","178",""
"136","3.000604160","10.43.2.66","239.192.152.143","LSD","178",""
"137","3.000618704","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","57098  >  6771 Len=138"
"138","3.000776009","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","6771  >  6771 Len=138"
"139","3.023221522","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"140","3.025169972","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"141","3.074619680","10.43.1.246","239.255.255.250","SSDP","174","M-SEARCH * HTTP/1.1 "
"142","3.136858975","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"143","3.140013371","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"144","3.157539564","10.43.1.22","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"145","3.164280907","10.43.1.224","239.192.152.143","LSD","161",""
"146","3.248623203","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"147","3.250527165","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"148","3.287373540","10.43.1.95","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"149","3.315924429","fe80::d772:6bfa:ec4d:beda","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"150","3.356247112","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"151","3.358013507","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"152","3.465300708","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"153","3.467082357","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"154","3.481834052","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"155","3.500855948","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"156","3.549413218","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"157","3.557016483","10.43.2.16","239.192.152.143","LSD","161",""
"158","3.574472127","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"159","3.575882576","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"160","3.579834082","Cisco_80:9a:8f","HewlettP_e6:16:10","ARP","60","Who has 10.43.1.27? Tell 0.0.0.0"
"161","3.579866361","HewlettP_e6:16:10","Cisco_80:9a:8f","ARP","42","10.43.1.27 is at 3c:52:82:e6:16:10"
"162","3.632329054","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"163","3.665363430","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"164","3.670442193","Dell_3b:7d:9d","Broadcast","ARP","60","Who has 10.43.0.1? Tell 10.43.1.62"
"165","3.681236870","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"166","3.682228120","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"167","3.781309000","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"168","3.794158882","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"169","3.796719402","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"170","3.897307663","10.43.1.120","239.255.255.250","SSDP","168","M-SEARCH * HTTP/1.1 "
"171","3.902890535","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"172","3.904640629","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"173","3.950062576","10.43.1.187","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"174","3.995673057","10.43.1.255","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1 "
"175","4.011481874","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"176","4.013267810","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"177","4.028457060","172.217.194.189","10.43.1.27","TLSv1.2","120","Application Data"
"178","4.028478533","10.43.1.27","172.217.194.189","TCP","66","33728  >  443 [ACK] Seq=1 Ack=55 Win=1444 Len=0 TSval=554194738 TSecr=2141903518"
"179","4.112379620","Cisco_80:9a:8f","Cisco_80:9a:8f","LOOP","60","Reply"
"180","4.120696742","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"181","4.122463302","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"182","4.157468015","10.43.1.22","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"183","4.205167094","fe80::d772:6bfa:ec4d:beda","ff02::2","ICMPv6","62","Router Solicitation"
"184","4.227669698","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"185","4.229377162","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"186","4.288602748","10.43.1.95","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"187","4.335947304","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"188","4.337554916","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"189","4.443701958","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"190","4.445533617","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"191","4.482294224","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"192","4.500773804","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"193","4.503268869","LcfcHefe_30:96:4c","Broadcast","ARP","60","Who has 10.43.1.122? Tell 10.43.2.185"
"194","4.545375294","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"195","4.553174796","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"196","4.554811509","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"197","4.590523369","fe80::103a:efbb:965d:fbc2","ff02::1:ff02:c276","ICMPv6","86","Neighbor Solicitation for fe80::226:bbff:fe02:c276 from 80:ee:73:d5:50:72"
"198","4.632958899","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"199","4.659056393","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"200","4.662636287","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"201","4.664442756","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"202","4.771315807","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"203","4.772763992","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"204","4.779238358","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"205","4.859596347","Cisco_80:9a:8f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 0/43/78:da:6e:57:01:40  Cost = 4  Port = 0x800f"
"206","4.879099387","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"207","4.881328684","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"208","4.950925108","10.43.1.187","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"209","4.988411914","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"210","4.989947790","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"211","5.001721531","10.43.2.66","239.192.152.143","LSD","178",""
"212","5.001741333","10.43.2.66","239.192.152.143","LSD","178",""
"213","5.001891409","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","57098  >  6771 Len=138"
"214","5.001926118","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","6771  >  6771 Len=138"
"215","5.097901896","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"216","5.100347375","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"217","5.159596851","10.43.1.22","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"218","5.209942147","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"219","5.212472242","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"220","5.221520787","10.43.0.1","224.0.0.5","OSPF","90","Hello Packet"
"221","5.224750314","fe80::9d8d:ca7:e113:7691","ff02::1:2","DHCPv6","145","Solicit XID: 0xb0ec73 CID: 0001000123889f73505bc2f78faf "
"222","5.288938725","10.43.1.95","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"223","5.318112047","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"224","5.319394749","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"225","5.425213049","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"226","5.426373002","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"227","5.471189752","10.43.2.211","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question"
"228","5.471263739","10.43.2.211","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"229","5.471280306","10.43.2.211","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"230","5.482478781","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"231","5.498564630","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"232","5.520479010","LcfcHefe_30:96:4c","Broadcast","ARP","60","Who has 10.43.1.122? Tell 10.43.2.185"
"233","5.534089926","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"234","5.535656220","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"235","5.540371529","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"236","5.591128432","10.43.1.178","239.192.152.143","LSD","179",""
"237","5.591568563","10.43.1.178","239.192.152.143","LSD","179",""
"238","5.591711447","10.43.1.178","239.192.152.143","LSD","179",""
"239","5.592060202","fe80::990b:eb39:f47a:113e","ff15::efc0:988f","UDP","201","50940  >  6771 Len=139"
"240","5.592618321","fe80::990b:eb39:f47a:113e","ff15::efc0:988f","UDP","201","6771  >  6771 Len=139"
"241","5.592738212","fe80::990b:eb39:f47a:113e","ff15::efc0:988f","UDP","201","6771  >  6771 Len=139"
"242","5.634774274","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"243","5.640714956","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"244","5.641851017","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"245","5.653281901","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"246","5.746706130","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"247","5.747789752","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"248","5.779764933","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"249","5.815263367","10.43.1.138","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"250","5.851641397","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
